"geographic_value","latitude","longitude"
Africa,4.1244,23.1514
Antarctica/Southern Ocean,-78.236,-45.22583
Australia,-25.2744,133.7751
Caribbean,21.4691,-78.6569
East Pacific,39.177,-131.0313
Europe & Northern Asia (excluding China),49.62685,12.22137
Indo-West Pacific,0.45608,83.2461
Middle America,12.769,-85.6024
North America,45.6199,-104.4641
Oceania,-18.3242,154.137
South America,-8.7832,-55.4915
Southern Asia,19.741,100.2968
Eastern Atlantic Ocean,33.6286,-27.45418
Western Atlantic Ocean,29.43989,-67.7522
